file & heat
auto (151x151) & auto (2000) & None & None & [-0.0100487409, 0.0040492157] (68.58\%) & 54.77s & sdp \\ \hline
None & None  & None & None & all order-2 (10000) & [-0.0103792060, 0.0066609174] (82.89\%) & 2.84s & all2-z, 95% \\ \hline
None & None  & None & None & all order-2 (10000) & [-0.0106822048, 0.0069206307] (85.63\%) & 3.11s & all2-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (10000) & [-0.0097624181, 0.0040502368] (67.19\%) & 59.28s & sdp+all2-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (10000) & [-0.0098899926, 0.0040490684] (67.81\%) & 59.25s & sdp+all2-z, 99.7% \\ \hline
None & None  & None & None & all order-3 (10000) & [-0.0128139463, 0.0072787787] (97.74\%) & 3.49s & all3-z, 95% \\ \hline
None & None  & None & None & all order-3 (10000) & [-0.0131400194, 0.0072787787] (99.33\%) & 3.98s & all3-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-3 (10000) & [-0.0100501805, 0.0040498120] (68.59\%) & 1m4s & sdp+all3-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-3 (10000) & [-0.0100500275, 0.0040504795] (68.59\%) & 1m5s & sdp+all3-z, 99.7% \\ \hline
None & None  & None & None & auto (10000) & [-0.0089913591, 0.0055854151] (70.91\%) & 2.31s & auto100-z, 95% \\ \hline
None & None  & None & None & auto (10000) & [-0.0091356053, 0.0057296613] (72.31\%) & 2.93s & auto100-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (10000) & [-0.0077536476, 0.0040500967] (57.42\%) & 59.78s & sdp+auto100-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (10000) & [-0.0085345861, 0.0040493923] (61.21\%) & 1m1s & sdp+auto100-z, 99.7% \\ \hline
None & None  & None & None & auto (10000) & [-0.0089913591, 0.0055854151] (70.91\%) & 2.79s & auto200-z, 95% \\ \hline
None & None  & None & None & auto (10000) & [-0.0091356053, 0.0057296613] (72.31\%) & 2.87s & auto200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (10000) & [-0.0095670904, 0.0040496942] (66.24\%) & 1m1s & sdp+auto200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (10000) & [-0.0098527676, 0.0040503257] (67.63\%) & 1m2s & sdp+auto200-z, 99.7% \\ \hline
None & None  & None & None & auto (10000) & [-0.0089913591, 0.0055854151] (70.91\%) & 2.31s & first50-z, 95% \\ \hline
None & None  & None & None & auto (10000) & [-0.0091356053, 0.0057296613] (72.31\%) & 2.32s & first50-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (10000) & [-0.0062989984, 0.0040502234] (50.34\%) & 59.27s & sdp+first50-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (10000) & [-0.0071531413, 0.0040503181] (54.50\%) & 59.09s & sdp+first50-z, 99.7% \\ \hline
None & None  & None & None & auto (10000) & [-0.0089913591, 0.0055854151] (70.91\%) & 2.30s & first100-z, 95% \\ \hline
None & None  & None & None & auto (10000) & [-0.0091356053, 0.0057296613] (72.31\%) & 2.31s & first100-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (10000) & [-0.0082313233, 0.0040481744] (59.73\%) & 58.83s & sdp+first100-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (10000) & [-0.0088904125, 0.0040505965] (62.95\%) & 1m3s & sdp+first100-z, 99.7% \\ \hline
None & None  & None & None & auto (10000) & [-0.0089913591, 0.0055854151] (70.91\%) & 3.41s & first200-z, 95% \\ \hline
None & None  & None & None & auto (10000) & [-0.0091356053, 0.0057296613] (72.31\%) & 2.88s & first200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (10000) & [-0.0093137989, 0.0040497487] (65.01\%) & 57.88s & sdp+first200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (10000) & [-0.0096703262, 0.0040498848] (66.74\%) & 59.40s & sdp+first200-z, 99.7% \\ \hline
None & None  & None & None & onlyobj (10000) & [-0.0085703011, 0.0049647155] (65.84\%) & 2.29s & onlyobj-z, 95% \\ \hline
None & None  & None & None & onlyobj (10000) & [-0.0086357223, 0.0050301368] (66.48\%) & 2.31s & onlyobj-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & onlyobj (10000) & [-0.0060825796, 0.0040486781] (49.28\%) & 59.09s & sdp+onlyobj-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & onlyobj (10000) & [-0.0062594068, 0.0040486449] (50.14\%) & 56.51s & sdp+onlyobj-z, 99.7% \\ \hline
None & None  & None & None & all order-2 (50000) & [-0.0092366354, 0.0055551569] (71.95\%) & 2.99s & all2-z, 95% \\ \hline
None & None  & None & None & all order-2 (50000) & [-0.0093714790, 0.0056900005] (73.26\%) & 3.06s & all2-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (50000) & [-0.0065604749, 0.0040497674] (51.61\%) & 59.45s & sdp+all2-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (50000) & [-0.0072013582, 0.0040503551] (54.73\%) & 1m0s & sdp+all2-z, 99.7% \\ \hline
None & None  & None & None & all order-3 (50000) & [-0.0107608723, 0.0067231012] (85.05\%) & 3.96s & all3-z, 95% \\ \hline
None & None  & None & None & all order-3 (50000) & [-0.0110466371, 0.0069766904] (87.67\%) & 3.50s & all3-z, 99.7% \\ \hline
